precinct,total_complaints_17,total_complaints_17_per_capita,total_complaints_18,total_complaints_18_per_capita,total_complaints_19,total_complaints_19_per_capita,avg_population,avg_complaints_17_19,avg_median_income,avg_unemployment_rate,avg_white_frac,avg_black_frac,avg_native_frac,avg_asian_frac,avg_single_frac,avg_liveswspouse_frac,avg_liveswunmarried_frac,avg_bachelors_frac,avg_blacks_1990
84.0,793,1.6453647605610424,884,1.834177110133621,801,1.6619636484355549,48196,1.713835173043406,129248.0,0.0581105631975084,0.6425257975953801,0.1320174192937612,0.0031714475054435,0.1238757928618763,0.2217987169874198,0.4353494959593435,0.1293634924602182,0.3619015594132235,13457.0
88.0,1401,2.724567783590362,1465,2.8490305517201144,1479,2.8762567822484977,51421,2.8166183725196583,58872.0,0.0762589928057553,0.5138227696774331,0.3100143030975812,0.006105501355592,0.0633178916807207,0.1723375624759708,0.3220235806740997,0.0994809688581314,0.2680219819690385,11803.0
90.0,2060,1.7631551918929098,2048,1.7528843849498443,2102,1.799103016193639,116836,1.7717141976787978,60490.5,0.0660552005524195,0.6067517188469858,0.1555616057308215,0.0056548308926726,0.0616734595825979,0.1402571974566478,0.3394003609193264,0.07915829878315,0.2708870259047443,19979.0
94.0,652,1.1591729336675733,717,1.274734652514801,652,1.1591729336675733,56247,1.1976935066166492,93488.0,0.0355925485533095,0.8251518767628553,0.035799522673031,0.0018713386851811,0.0439086569754827,0.1855391328396275,0.3437605629474848,0.1289985557569984,0.3869121999342321,842.0
100.0,1387,2.894830213094567,1263,2.6360278003882036,1342,2.8009099826769353,47913,2.7772559987199017,69793.5,0.0608185565305123,0.6385740741290443,0.2209044670621104,0.0030648788802313,0.0368303081526749,0.1453855300411211,0.4024838897975087,0.054582204889508,0.193197182197475,2717.0
101.0,3256,4.8549914262282865,2924,4.359949302915083,3070,4.5776485499142625,67065,4.597529759685877,55471.0,0.0852676492378484,0.4044399074370893,0.335699265983808,0.001327633748158,0.0399677014255822,0.1038276992302865,0.3493018672517169,0.043204272838429,0.1390320486363479,26144.0
102.0,2758,1.9124224248517836,2754,1.909648788267517,2748,1.9054883333911175,144215,1.9091865155034728,72426.4,0.0584556210235399,0.3588576339190785,0.0835067098470537,0.007153532648401,0.2541005411816717,0.0828858998461469,0.3824001350789984,0.0446743581790567,0.1902227463319157,2930.2
103.0,3803,3.5944160373524383,3943,3.7267374271050917,3822,3.612373940247441,105803,3.644509134901657,60195.0,0.1131311964713202,0.1107015438683188,0.4442807378661817,0.0036772967573744,0.1651364405270327,0.0905689000389428,0.3170858390867772,0.0366833909630931,0.1597444321963155,21583.5
104.0,2351,1.381397261883777,2518,1.4795228861860275,2358,1.3855103120042307,170190,1.4154768200246783,78977.66666666667,0.0468558075348657,0.7689249814557337,0.0185004157162097,0.0029050505942809,0.0927338979857185,0.0957878417200345,0.4401922269532617,0.0531918184712873,0.1943129548514058,376.3333333333333
105.0,3902,2.069126427760868,4036,2.1401830503441475,3761,1.9943578920575664,188582,2.0678891233875274,92471.36363636365,0.0504898144561251,0.3160878470212565,0.3670596246864477,0.0044517986518979,0.190175164548537,0.1093234549674976,0.4225628116324068,0.0223477930258025,0.2052343235196238,9780.1
