,precinct,avg_median_income,avg_unemployment_rate,avg_white_frac,avg_black_frac,avg_native_frac,avg_asian_frac,avg_single_frac,avg_liveswspouse_frac,avg_liveswunmarried_frac,avg_bachelors_frac,avg_blacks_1990,avg_population
92,7.0,36982.0,0.062193171935927286,0.32021106620658174,0.08908551403751393,0.009720860913814633,0.41888317512318907,0.22385066093905462,0.3098438067562659,0.029627757860989593,0.22255922892865568,9321.0,74479.0
93,104.0,78977.66666666667,0.04685580753486573,0.7689249814557337,0.018500415716209733,0.0029050505942809124,0.09273389798571856,0.09578784172003459,0.4401922269532617,0.05319181847128734,0.19431295485140584,376.3333333333333,61437.0
98,83.0,53303.0,0.05476600631639391,0.37185939929617806,0.13824781078648007,0.01192814469269171,0.06839757754317047,0.10671196597201787,0.239934726197801,0.08078970600037452,0.23907634421653112,6056.0,48876.0
101,90.0,60490.5,0.06605520055241952,0.6067517188469858,0.15556160573082156,0.005654830892672605,0.061673459582597935,0.14025719745664786,0.33940036091932646,0.07915829878315006,0.27088702590474434,19979.0,95772.5
105,88.0,58872.0,0.07625899280575539,0.5138227696774331,0.31001430309758127,0.006105501355592085,0.0633178916807207,0.1723375624759708,0.3220235806740997,0.09948096885813149,0.2680219819690385,11803.0,46843.0
108,84.0,129248.0,0.05811056319750844,0.6425257975953801,0.13201741929376123,0.0031714475054435295,0.12387579286187636,0.22179871698741982,0.4353494959593435,0.12936349246021828,0.3619015594132235,13457.0,63378.0
111,75.0,38340.0,0.06395248755818038,0.24810395946307098,0.578637361603326,0.006651198493842941,0.044066654018765444,0.17776136072376655,0.28137594330661425,0.037731243870786524,0.1142224596142767,34243.5,76620.25
117,78.0,125733.0,0.04451952697033226,0.6766624628088302,0.12471844924162472,0.0011889123420101991,0.0826177627796613,0.15896856516589652,0.4417682335850699,0.11349855794896166,0.3554300802085376,10787.0,55843.0
119,76.0,99643.0,0.07213731483658593,0.6630670116702752,0.153033743465174,0.005676717537096689,0.05869461899984158,0.1607984966138354,0.47058823529411764,0.09126688650143602,0.31442827759579495,6978.0,37874.0
121,106.0,77204.0,0.05975754083618976,0.44451882274386895,0.11759230389038226,0.004119801527102041,0.22372183752812336,0.07431007172132954,0.41447960745931595,0.03775183091308685,0.16254328931319212,5792.666666666667,35701.333333333336
125,72.0,55695.5,0.059650697047400864,0.3797848297923344,0.050007141165760695,0.009666941470583088,0.29998370750239867,0.08936242504588478,0.3835186054792242,0.07359439793763523,0.16184763730556215,2972.0,59800.0
127,67.0,54457.0,0.058370716428211185,0.04421370835250049,0.8897811658014063,0.0019320496812775185,0.01826904120391667,0.1402986096842682,0.2992945688651462,0.04044243544962674,0.1658670322138451,74363.0,76085.0
